Category: All categories

Region,insurance: (1/1/04 - 5/2/19)
Louisiana,100
Florida,99
Georgia,99
Alabama,98
North Carolina,96
Texas,96
Massachusetts,95
Missouri,95
Connecticut,94
Mississippi,93
South Carolina,92
Kansas,92
Ohio,91
Wisconsin,91
Oklahoma,91
Arkansas,91
Iowa,90
Michigan,90
Arizona,90
Tennessee,90
Pennsylvania,90
Kentucky,90
South Dakota,89
New Jersey,89
New York,88
Montana,88
Nebraska,88
Delaware,87
Illinois,87
Indiana,87
Idaho,86
Rhode Island,86
West Virginia,86
Nevada,86
North Dakota,84
Maine,84
Maryland,84
Minnesota,83
District of Columbia,83
Colorado,82
Utah,81
California,79
New Mexico,79
New Hampshire,79
Wyoming,78
Washington,76
Oregon,75
Vermont,73
Virginia,71
Alaska,65
Hawaii,64
