Category: All categories

Region,flood insurance: (1/1/04 - 5/2/19)
Louisiana,100
Florida,51
District of Columbia,42
Rhode Island,41
North Dakota,40
New Jersey,39
South Carolina,36
Mississippi,36
Texas,35
West Virginia,34
Connecticut,33
Montana,33
New York,31
Delaware,30
North Carolina,30
Nebraska,29
Massachusetts,28
Alabama,28
Virginia,27
Pennsylvania,27
South Dakota,26
Georgia,25
Vermont,25
Maryland,24
New Hampshire,24
Hawaii,24
Maine,24
Iowa,23
Wyoming,23
Kansas,23
Arkansas,22
Colorado,22
Oklahoma,21
Indiana,21
Kentucky,21
Missouri,20
Tennessee,20
Illinois,20
New Mexico,20
Ohio,19
Idaho,19
Wisconsin,18
Oregon,18
Minnesota,18
Michigan,18
Washington,17
Arizona,17
Alaska,15
California,15
Utah,14
Nevada,12
