Category: All categories

Region,fire insurance: (1/1/04 - 5/2/19)
Rhode Island,100
Massachusetts,79
Connecticut,77
Montana,74
Maine,72
New York,69
Louisiana,69
New Hampshire,67
New Jersey,65
Pennsylvania,61
Iowa,59
California,59
Ohio,58
Georgia,58
Alabama,55
Arkansas,55
Texas,54
Colorado,53
Missouri,52
Florida,52
North Carolina,51
District of Columbia,51
Kansas,50
Mississippi,50
South Carolina,50
Tennessee,49
Maryland,49
Illinois,49
Arizona,49
Nebraska,49
Oklahoma,48
Wisconsin,48
Minnesota,48
Delaware,47
West Virginia,47
Idaho,46
New Mexico,46
Kentucky,46
Oregon,45
Washington,44
Indiana,43
Michigan,43
Nevada,42
Virginia,41
Hawaii,39
Utah,38
Vermont,
North Dakota,
South Dakota,
Alaska,
Wyoming,
