Category: All categories

Region,homeowners insurance: (1/1/04 - 5/2/19)
Florida,100
Louisiana,87
Alabama,77
South Carolina,69
North Carolina,67
Georgia,66
New York,65
Delaware,64
Rhode Island,64
New Jersey,64
Maryland,64
Michigan,63
Connecticut,62
Pennsylvania,61
Tennessee,61
Oklahoma,60
Indiana,60
Texas,60
Colorado,59
West Virginia,59
Missouri,57
Arkansas,57
Mississippi,56
Kansas,56
Nebraska,56
Kentucky,56
Maine,55
Ohio,55
New Hampshire,55
Wyoming,54
Virginia,53
Minnesota,52
District of Columbia,52
Arizona,51
Vermont,51
South Dakota,51
Wisconsin,51
Idaho,50
Massachusetts,50
New Mexico,49
Iowa,49
Illinois,48
Montana,46
Utah,45
Washington,44
Nevada,43
North Dakota,41
California,41
Alaska,40
Oregon,39
Hawaii,37
