Category: All categories

Region,renters insurance: (1/1/04 - 5/2/19)
Texas,100
Georgia,98
North Carolina,91
District of Columbia,91
Colorado,90
Arizona,90
Maryland,89
Florida,89
Nevada,85
Washington,85
Alabama,82
Indiana,79
Delaware,78
New York,78
Virginia,77
Tennessee,76
Oregon,76
South Carolina,75
Ohio,73
Missouri,73
California,71
Kansas,71
Michigan,70
Pennsylvania,68
Nebraska,66
New Jersey,66
Illinois,65
Wisconsin,65
Connecticut,64
Montana,64
New Mexico,61
Louisiana,60
Utah,59
Oklahoma,59
Mississippi,59
Iowa,58
Minnesota,57
Arkansas,57
North Dakota,57
Kentucky,56
Massachusetts,55
Rhode Island,54
Vermont,53
New Hampshire,51
South Dakota,50
Hawaii,50
Maine,50
Idaho,49
Wyoming,49
West Virginia,44
Alaska,43
