Category: All categories

Region,property insurance: (1/1/04 - 5/2/19)
Florida,100
Louisiana,57
North Carolina,54
Georgia,52
Connecticut,52
Rhode Island,49
New York,48
South Carolina,46
Massachusetts,46
Alabama,45
New Jersey,44
Texas,44
Maryland,43
Iowa,43
Tennessee,42
Oklahoma,42
Missouri,42
Wisconsin,42
District of Columbia,42
Minnesota,42
Montana,41
Idaho,41
Virginia,40
Illinois,40
Ohio,40
Mississippi,40
Nebraska,39
Kansas,39
Colorado,39
Michigan,38
Pennsylvania,38
South Dakota,38
Indiana,38
Arkansas,38
New Hampshire,38
Kentucky,37
Utah,37
New Mexico,37
Arizona,37
Vermont,37
California,36
Delaware,35
Nevada,34
Washington,33
Oregon,33
Maine,33
Alaska,31
Hawaii,31
Wyoming,30
West Virginia,29
North Dakota,27
