Category: All categories

Region,climate change: (1/1/04 - 5/2/19)
Vermont,100
District of Columbia,86
Maine,80
Alaska,70
Montana,63
New Hampshire,57
Colorado,52
Maryland,50
Massachusetts,50
Rhode Island,49
Wyoming,48
Connecticut,48
Oregon,48
Iowa,47
Idaho,46
Hawaii,46
Delaware,46
Washington,45
New Mexico,45
Wisconsin,39
Minnesota,38
New York,38
Indiana,37
South Dakota,37
Utah,36
Michigan,36
California,36
North Carolina,36
Arizona,34
West Virginia,34
Virginia,34
New Jersey,33
Pennsylvania,33
Nebraska,32
Nevada,31
Illinois,31
Kansas,30
Kentucky,30
North Dakota,30
Ohio,29
Arkansas,28
Florida,27
Missouri,27
South Carolina,26
Oklahoma,25
Louisiana,24
Alabama,23
Tennessee,22
Texas,22
Georgia,22
Mississippi,21
