Category: All categories

Month,insurance: (United States)
2004-01,91
2004-02,87
2004-03,86
2004-04,88
2004-05,87
2004-06,100
2004-07,98
2004-08,98
2004-09,89
2004-10,82
2004-11,79
2004-12,77
2005-01,87
2005-02,84
2005-03,85
2005-04,82
2005-05,82
2005-06,91
2005-07,89
2005-08,93
2005-09,84
2005-10,78
2005-11,75
2005-12,72
2006-01,83
2006-02,78
2006-03,80
2006-04,80
2006-05,82
2006-06,87
2006-07,84
2006-08,86
2006-09,80
2006-10,80
2006-11,75
2006-12,69
2007-01,86
2007-02,79
2007-03,81
2007-04,80
2007-05,81
2007-06,82
2007-07,85
2007-08,86
2007-09,77
2007-10,78
2007-11,72
2007-12,65
2008-01,80
2008-02,76
2008-03,75
2008-04,75
2008-05,74
2008-06,75
2008-07,78
2008-08,74
2008-09,80
2008-10,76
2008-11,65
2008-12,68
2009-01,78
2009-02,80
2009-03,80
2009-04,76
2009-05,72
2009-06,81
2009-07,82
2009-08,84
2009-09,78
2009-10,76
2009-11,70
2009-12,69
2010-01,75
2010-02,75
2010-03,80
2010-04,74
2010-05,69
2010-06,75
2010-07,69
2010-08,71
2010-09,67
2010-10,65
2010-11,62
2010-12,59
2011-01,74
2011-02,73
2011-03,72
2011-04,70
2011-05,69
2011-06,76
2011-07,72
2011-08,76
2011-09,71
2011-10,67
2011-11,65
2011-12,60
2012-01,69
2012-02,70
2012-03,69
2012-04,68
2012-05,69
2012-06,71
2012-07,72
2012-08,71
2012-09,67
2012-10,67
2012-11,62
2012-12,56
2013-01,70
2013-02,69
2013-03,69
2013-04,69
2013-05,69
2013-06,67
2013-07,72
2013-08,72
2013-09,72
2013-10,79
2013-11,68
2013-12,64
2014-01,73
2014-02,73
2014-03,76
2014-04,71
2014-05,69
2014-06,70
2014-07,73
2014-08,70
2014-09,68
2014-10,69
2014-11,64
2014-12,65
2015-01,72
2015-02,75
2015-03,72
2015-04,70
2015-05,68
2015-06,76
2015-07,77
2015-08,76
2015-09,71
2015-10,71
2015-11,72
2015-12,68
2016-01,74
2016-02,76
2016-03,73
2016-04,73
2016-05,74
2016-06,72
2016-07,74
2016-08,79
2016-09,72
2016-10,75
2016-11,71
2016-12,72
2017-01,80
2017-02,79
2017-03,84
2017-04,78
2017-05,80
2017-06,82
2017-07,83
2017-08,86
2017-09,82
2017-10,84
2017-11,79
2017-12,73
2018-01,83
2018-02,80
2018-03,81
2018-04,78
2018-05,78
2018-06,81
2018-07,79
2018-08,82
2018-09,75
2018-10,77
2018-11,74
2018-12,69
2019-01,81
2019-02,79
2019-03,80
2019-04,79
