Category: All categories

Month,flood insurance: (United States)
2004-01,18
2004-02,18
2004-03,13
2004-04,27
2004-05,20
2004-06,27
2004-07,18
2004-08,34
2004-09,37
2004-10,31
2004-11,22
2004-12,26
2005-01,22
2005-02,14
2005-03,19
2005-04,22
2005-05,21
2005-06,19
2005-07,26
2005-08,33
2005-09,97
2005-10,43
2005-11,24
2005-12,21
2006-01,24
2006-02,25
2006-03,23
2006-04,36
2006-05,37
2006-06,39
2006-07,30
2006-08,38
2006-09,24
2006-10,22
2006-11,19
2006-12,15
2007-01,18
2007-02,17
2007-03,19
2007-04,24
2007-05,23
2007-06,25
2007-07,25
2007-08,30
2007-09,18
2007-10,20
2007-11,14
2007-12,19
2008-01,23
2008-02,19
2008-03,18
2008-04,20
2008-05,22
2008-06,34
2008-07,24
2008-08,27
2008-09,29
2008-10,20
2008-11,14
2008-12,16
2009-01,15
2009-02,18
2009-03,16
2009-04,19
2009-05,22
2009-06,23
2009-07,21
2009-08,24
2009-09,24
2009-10,25
2009-11,18
2009-12,16
2010-01,19
2010-02,20
2010-03,33
2010-04,31
2010-05,27
2010-06,46
2010-07,23
2010-08,18
2010-09,20
2010-10,15
2010-11,13
2010-12,12
2011-01,17
2011-02,15
2011-03,23
2011-04,19
2011-05,25
2011-06,22
2011-07,18
2011-08,29
2011-09,31
2011-10,17
2011-11,16
2011-12,11
2012-01,12
2012-02,16
2012-03,16
2012-04,15
2012-05,19
2012-06,19
2012-07,17
2012-08,20
2012-09,19
2012-10,23
2012-11,39
2012-12,18
2013-01,25
2013-02,23
2013-03,22
2013-04,26
2013-05,23
2013-06,24
2013-07,25
2013-08,23
2013-09,34
2013-10,36
2013-11,25
2013-12,21
2014-01,29
2014-02,29
2014-03,33
2014-04,29
2014-05,27
2014-06,25
2014-07,26
2014-08,27
2014-09,21
2014-10,20
2014-11,16
2014-12,15
2015-01,17
2015-02,19
2015-03,24
2015-04,24
2015-05,27
2015-06,31
2015-07,24
2015-08,25
2015-09,21
2015-10,30
2015-11,20
2015-12,18
2016-01,19
2016-02,18
2016-03,21
2016-04,28
2016-05,27
2016-06,26
2016-07,23
2016-08,38
2016-09,25
2016-10,25
2016-11,17
2016-12,13
2017-01,19
2017-02,21
2017-03,22
2017-04,23
2017-05,23
2017-06,25
2017-07,26
2017-08,70
2017-09,100
2017-10,27
2017-11,22
2017-12,19
2018-01,20
2018-02,21
2018-03,21
2018-04,24
2018-05,25
2018-06,27
2018-07,24
2018-08,26
2018-09,40
2018-10,24
2018-11,19
2018-12,16
2019-01,18
2019-02,21
2019-03,26
2019-04,23
