Category: All categories

Month,fire insurance: (United States)
2004-01,56
2004-02,67
2004-03,94
2004-04,66
2004-05,90
2004-06,91
2004-07,84
2004-08,88
2004-09,79
2004-10,73
2004-11,68
2004-12,66
2005-01,88
2005-02,68
2005-03,75
2005-04,61
2005-05,73
2005-06,100
2005-07,98
2005-08,93
2005-09,78
2005-10,60
2005-11,54
2005-12,69
2006-01,63
2006-02,51
2006-03,61
2006-04,64
2006-05,62
2006-06,65
2006-07,67
2006-08,66
2006-09,70
2006-10,57
2006-11,63
2006-12,54
2007-01,55
2007-02,51
2007-03,59
2007-04,75
2007-05,72
2007-06,61
2007-07,59
2007-08,69
2007-09,53
2007-10,78
2007-11,67
2007-12,50
2008-01,65
2008-02,53
2008-03,53
2008-04,53
2008-05,58
2008-06,76
2008-07,54
2008-08,63
2008-09,60
2008-10,57
2008-11,65
2008-12,61
2009-01,54
2009-02,58
2009-03,68
2009-04,65
2009-05,63
2009-06,65
2009-07,60
2009-08,60
2009-09,65
2009-10,58
2009-11,53
2009-12,58
2010-01,50
2010-02,48
2010-03,63
2010-04,62
2010-05,61
2010-06,67
2010-07,54
2010-08,56
2010-09,54
2010-10,51
2010-11,45
2010-12,47
2011-01,55
2011-02,49
2011-03,55
2011-04,52
2011-05,50
2011-06,60
2011-07,46
2011-08,52
2011-09,57
2011-10,53
2011-11,49
2011-12,43
2012-01,49
2012-02,52
2012-03,46
2012-04,43
2012-05,44
2012-06,55
2012-07,51
2012-08,54
2012-09,50
2012-10,46
2012-11,48
2012-12,45
2013-01,48
2013-02,41
2013-03,44
2013-04,45
2013-05,47
2013-06,52
2013-07,43
2013-08,46
2013-09,43
2013-10,45
2013-11,44
2013-12,39
2014-01,45
2014-02,47
2014-03,47
2014-04,48
2014-05,48
2014-06,52
2014-07,51
2014-08,44
2014-09,48
2014-10,42
2014-11,38
2014-12,39
2015-01,42
2015-02,48
2015-03,49
2015-04,52
2015-05,47
2015-06,51
2015-07,48
2015-08,52
2015-09,50
2015-10,48
2015-11,41
2015-12,45
2016-01,36
2016-02,43
2016-03,44
2016-04,45
2016-05,45
2016-06,43
2016-07,42
2016-08,45
2016-09,43
2016-10,41
2016-11,37
2016-12,38
2017-01,42
2017-02,41
2017-03,49
2017-04,45
2017-05,41
2017-06,48
2017-07,44
2017-08,43
2017-09,54
2017-10,66
2017-11,45
2017-12,58
2018-01,44
2018-02,45
2018-03,46
2018-04,45
2018-05,45
2018-06,47
2018-07,47
2018-08,50
2018-09,43
2018-10,42
2018-11,67
2018-12,45
2019-01,46
2019-02,45
2019-03,44
2019-04,46
