Category: All categories

Month,homeowners insurance: (United States)
2004-01,80
2004-02,89
2004-03,78
2004-04,86
2004-05,88
2004-06,93
2004-07,100
2004-08,98
2004-09,81
2004-10,71
2004-11,73
2004-12,64
2005-01,60
2005-02,76
2005-03,79
2005-04,81
2005-05,90
2005-06,84
2005-07,85
2005-08,82
2005-09,79
2005-10,63
2005-11,67
2005-12,59
2006-01,62
2006-02,75
2006-03,66
2006-04,76
2006-05,83
2006-06,77
2006-07,80
2006-08,94
2006-09,72
2006-10,72
2006-11,70
2006-12,64
2007-01,74
2007-02,73
2007-03,74
2007-04,84
2007-05,81
2007-06,81
2007-07,78
2007-08,78
2007-09,57
2007-10,54
2007-11,57
2007-12,47
2008-01,63
2008-02,70
2008-03,65
2008-04,67
2008-05,65
2008-06,63
2008-07,56
2008-08,59
2008-09,65
2008-10,52
2008-11,52
2008-12,44
2009-01,66
2009-02,83
2009-03,77
2009-04,81
2009-05,71
2009-06,83
2009-07,75
2009-08,76
2009-09,77
2009-10,74
2009-11,55
2009-12,50
2010-01,59
2010-02,65
2010-03,72
2010-04,65
2010-05,65
2010-06,60
2010-07,61
2010-08,53
2010-09,49
2010-10,45
2010-11,44
2010-12,40
2011-01,62
2011-02,63
2011-03,70
2011-04,75
2011-05,68
2011-06,77
2011-07,74
2011-08,79
2011-09,70
2011-10,57
2011-11,58
2011-12,54
2012-01,62
2012-02,69
2012-03,71
2012-04,75
2012-05,72
2012-06,75
2012-07,87
2012-08,75
2012-09,75
2012-10,74
2012-11,68
2012-12,56
2013-01,70
2013-02,79
2013-03,79
2013-04,86
2013-05,87
2013-06,82
2013-07,90
2013-08,79
2013-09,72
2013-10,68
2013-11,61
2013-12,53
2014-01,74
2014-02,73
2014-03,75
2014-04,83
2014-05,80
2014-06,80
2014-07,79
2014-08,72
2014-09,63
2014-10,63
2014-11,56
2014-12,59
2015-01,73
2015-02,75
2015-03,79
2015-04,83
2015-05,79
2015-06,82
2015-07,74
2015-08,74
2015-09,68
2015-10,66
2015-11,58
2015-12,55
2016-01,59
2016-02,71
2016-03,76
2016-04,75
2016-05,75
2016-06,76
2016-07,70
2016-08,74
2016-09,64
2016-10,68
2016-11,62
2016-12,57
2017-01,76
2017-02,73
2017-03,81
2017-04,85
2017-05,90
2017-06,85
2017-07,85
2017-08,84
2017-09,96
2017-10,80
2017-11,67
2017-12,55
2018-01,73
2018-02,71
2018-03,80
2018-04,82
2018-05,87
2018-06,85
2018-07,81
2018-08,79
2018-09,79
2018-10,70
2018-11,67
2018-12,63
2019-01,72
2019-02,77
2019-03,81
2019-04,83
