Category: All categories

Month,renters insurance: (United States)
2004-01,40
2004-02,27
2004-03,30
2004-04,35
2004-05,37
2004-06,40
2004-07,38
2004-08,57
2004-09,62
2004-10,33
2004-11,23
2004-12,36
2005-01,33
2005-02,32
2005-03,25
2005-04,33
2005-05,41
2005-06,46
2005-07,44
2005-08,48
2005-09,49
2005-10,35
2005-11,31
2005-12,26
2006-01,34
2006-02,31
2006-03,30
2006-04,33
2006-05,46
2006-06,46
2006-07,48
2006-08,47
2006-09,36
2006-10,33
2006-11,30
2006-12,33
2007-01,38
2007-02,34
2007-03,36
2007-04,37
2007-05,42
2007-06,44
2007-07,47
2007-08,46
2007-09,34
2007-10,40
2007-11,33
2007-12,29
2008-01,39
2008-02,32
2008-03,34
2008-04,35
2008-05,41
2008-06,43
2008-07,43
2008-08,45
2008-09,45
2008-10,30
2008-11,29
2008-12,36
2009-01,40
2009-02,34
2009-03,36
2009-04,35
2009-05,42
2009-06,47
2009-07,48
2009-08,48
2009-09,41
2009-10,37
2009-11,32
2009-12,35
2010-01,38
2010-02,37
2010-03,43
2010-04,42
2010-05,48
2010-06,53
2010-07,48
2010-08,50
2010-09,45
2010-10,38
2010-11,35
2010-12,35
2011-01,44
2011-02,45
2011-03,44
2011-04,49
2011-05,53
2011-06,58
2011-07,56
2011-08,69
2011-09,50
2011-10,45
2011-11,39
2011-12,39
2012-01,48
2012-02,47
2012-03,47
2012-04,51
2012-05,54
2012-06,61
2012-07,66
2012-08,69
2012-09,51
2012-10,49
2012-11,49
2012-12,43
2013-01,51
2013-02,47
2013-03,48
2013-04,54
2013-05,64
2013-06,64
2013-07,67
2013-08,67
2013-09,56
2013-10,50
2013-11,46
2013-12,46
2014-01,54
2014-02,54
2014-03,57
2014-04,64
2014-05,68
2014-06,74
2014-07,79
2014-08,71
2014-09,60
2014-10,55
2014-11,49
2014-12,49
2015-01,56
2015-02,58
2015-03,60
2015-04,63
2015-05,68
2015-06,77
2015-07,85
2015-08,80
2015-09,59
2015-10,53
2015-11,51
2015-12,52
2016-01,51
2016-02,52
2016-03,53
2016-04,62
2016-05,68
2016-06,66
2016-07,70
2016-08,75
2016-09,60
2016-10,62
2016-11,48
2016-12,54
2017-01,60
2017-02,60
2017-03,63
2017-04,67
2017-05,75
2017-06,80
2017-07,88
2017-08,88
2017-09,100
2017-10,68
2017-11,61
2017-12,64
2018-01,67
2018-02,61
2018-03,70
2018-04,74
2018-05,84
2018-06,84
2018-07,96
2018-08,100
2018-09,86
2018-10,69
2018-11,64
2018-12,62
2019-01,67
2019-02,66
2019-03,67
2019-04,75
