Category: All categories

Month,property insurance: (United States)
2004-01,70
2004-02,59
2004-03,83
2004-04,70
2004-05,79
2004-06,74
2004-07,74
2004-08,100
2004-09,93
2004-10,75
2004-11,62
2004-12,71
2005-01,81
2005-02,69
2005-03,80
2005-04,82
2005-05,78
2005-06,90
2005-07,76
2005-08,91
2005-09,82
2005-10,87
2005-11,66
2005-12,55
2006-01,71
2006-02,72
2006-03,74
2006-04,88
2006-05,93
2006-06,88
2006-07,91
2006-08,68
2006-09,62
2006-10,72
2006-11,67
2006-12,59
2007-01,88
2007-02,61
2007-03,76
2007-04,70
2007-05,79
2007-06,71
2007-07,92
2007-08,82
2007-09,66
2007-10,77
2007-11,59
2007-12,52
2008-01,73
2008-02,66
2008-03,64
2008-04,78
2008-05,75
2008-06,67
2008-07,78
2008-08,59
2008-09,70
2008-10,58
2008-11,53
2008-12,61
2009-01,68
2009-02,81
2009-03,71
2009-04,76
2009-05,69
2009-06,76
2009-07,76
2009-08,75
2009-09,70
2009-10,60
2009-11,59
2009-12,59
2010-01,63
2010-02,71
2010-03,67
2010-04,70
2010-05,71
2010-06,73
2010-07,64
2010-08,71
2010-09,60
2010-10,56
2010-11,54
2010-12,53
2011-01,64
2011-02,75
2011-03,69
2011-04,74
2011-05,69
2011-06,74
2011-07,60
2011-08,70
2011-09,61
2011-10,57
2011-11,57
2011-12,50
2012-01,61
2012-02,67
2012-03,66
2012-04,69
2012-05,66
2012-06,64
2012-07,74
2012-08,66
2012-09,67
2012-10,65
2012-11,66
2012-12,57
2013-01,63
2013-02,67
2013-03,68
2013-04,68
2013-05,71
2013-06,66
2013-07,66
2013-08,63
2013-09,58
2013-10,69
2013-11,58
2013-12,48
2014-01,72
2014-02,67
2014-03,64
2014-04,70
2014-05,70
2014-06,68
2014-07,68
2014-08,61
2014-09,65
2014-10,64
2014-11,53
2014-12,54
2015-01,64
2015-02,68
2015-03,69
2015-04,68
2015-05,66
2015-06,69
2015-07,69
2015-08,68
2015-09,66
2015-10,64
2015-11,59
2015-12,62
2016-01,57
2016-02,66
2016-03,63
2016-04,72
2016-05,67
2016-06,60
2016-07,60
2016-08,64
2016-09,57
2016-10,65
2016-11,63
2016-12,61
2017-01,70
2017-02,68
2017-03,76
2017-04,74
2017-05,72
2017-06,71
2017-07,74
2017-08,77
2017-09,81
2017-10,79
2017-11,70
2017-12,62
2018-01,69
2018-02,73
2018-03,73
2018-04,70
2018-05,75
2018-06,69
2018-07,69
2018-08,72
2018-09,65
2018-10,65
2018-11,62
2018-12,63
2019-01,66
2019-02,67
2019-03,73
2019-04,76
