Category: All categories

Month,climate change: (United States)
2004-01,11
2004-02,33
2004-03,13
2004-04,20
2004-05,18
2004-06,13
2004-07,11
2004-08,7
2004-09,13
2004-10,17
2004-11,23
2004-12,18
2005-01,17
2005-02,20
2005-03,15
2005-04,20
2005-05,19
2005-06,13
2005-07,17
2005-08,10
2005-09,17
2005-10,17
2005-11,20
2005-12,17
2006-01,14
2006-02,18
2006-03,20
2006-04,21
2006-05,18
2006-06,21
2006-07,16
2006-08,13
2006-09,17
2006-10,22
2006-11,21
2006-12,19
2007-01,31
2007-02,47
2007-03,36
2007-04,41
2007-05,39
2007-06,26
2007-07,22
2007-08,21
2007-09,30
2007-10,38
2007-11,43
2007-12,38
2008-01,34
2008-02,35
2008-03,35
2008-04,43
2008-05,38
2008-06,31
2008-07,24
2008-08,21
2008-09,33
2008-10,39
2008-11,40
2008-12,33
2009-01,33
2009-02,36
2009-03,37
2009-04,48
2009-05,36
2009-06,38
2009-07,33
2009-08,25
2009-09,40
2009-10,55
2009-11,67
2009-12,83
2010-01,37
2010-02,48
2010-03,43
2010-04,45
2010-05,36
2010-06,25
2010-07,18
2010-08,16
2010-09,24
2010-10,30
2010-11,31
2010-12,27
2011-01,22
2011-02,32
2011-03,30
2011-04,33
2011-05,29
2011-06,22
2011-07,17
2011-08,18
2011-09,28
2011-10,28
2011-11,33
2011-12,28
2012-01,23
2012-02,29
2012-03,30
2012-04,34
2012-05,24
2012-06,15
2012-07,20
2012-08,19
2012-09,27
2012-10,36
2012-11,44
2012-12,31
2013-01,27
2013-02,33
2013-03,30
2013-04,38
2013-05,35
2013-06,24
2013-07,18
2013-08,21
2013-09,30
2013-10,33
2013-11,35
2013-12,28
2014-01,33
2014-02,40
2014-03,40
2014-04,52
2014-05,66
2014-06,32
2014-07,24
2014-08,21
2014-09,53
2014-10,43
2014-11,48
2014-12,36
2015-01,36
2015-02,45
2015-03,52
2015-04,58
2015-05,51
2015-06,43
2015-07,28
2015-08,33
2015-09,56
2015-10,53
2015-11,70
2015-12,80
2016-01,44
2016-02,52
2016-03,60
2016-04,68
2016-05,56
2016-06,29
2016-07,24
2016-08,29
2016-09,46
2016-10,61
2016-11,100
2016-12,74
2017-01,82
2017-02,68
2017-03,77
2017-04,83
2017-05,71
2017-06,87
2017-07,35
2017-08,39
2017-09,71
2017-10,55
2017-11,62
2017-12,55
2018-01,51
2018-02,52
2018-03,51
2018-04,64
2018-05,57
2018-06,28
2018-07,24
2018-08,33
2018-09,42
2018-10,81
2018-11,83
2018-12,66
2019-01,59
2019-02,84
2019-03,88
2019-04,98
